0,Entry,head,shouler,arm,hand,body,"hip,leg,foot",bag,cup,earphone,glasses,mobilephone,overcoat,pillow,mouse,keyboard,desktop,desk-drawer,desk-fence,chair-arm,chair-cushion,chair-back,controller,printer,door,window,waterdispenser,tissuedispenser,trashcan,cabinet,printerdesk,printerchair,hanger,leave
desktop,0,67,0,4,4,1,21,1,16,17,4,63,0,1,55,29,20,0,2,34,3,1,0,0,0,0,0,0,0,0,0,0,0,4
desk-drawer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk-fence,0,1,0,0,3,0,1,0,2,0,1,2,0,0,6,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1
chair-arm,0,69,1,1,10,4,29,4,14,18,4,41,1,5,90,27,38,1,1,21,3,2,0,0,0,0,0,3,0,0,0,0,0,1
chair-cushion,0,3,0,0,1,0,1,0,0,0,0,1,0,0,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chair-back,0,0,0,0,2,0,0,1,2,0,0,3,0,2,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,2
controller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
printer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
door,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
waterdispenser,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tissuedispenser,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trashcan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabinet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
printerdesk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
printerchair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
1,Entry,head,shouler,arm,hand,body,"hip,leg,foot",bag,cup,earphone,glasses,mobilephone,overcoat,pillow,mouse,keyboard,desktop,desk-drawer,desk-fence,chair-arm,chair-cushion,chair-back,controller,printer,door,window,waterdispenser,tissuedispenser,trashcan,cabinet,printerdesk,printerchair,hanger,leave
